inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 204, 30, 79, 38, 283, 68, 1722.75, 53722.66, 0.03, 31.18, 2984.59, 0.47
values_84, 198, 30, 72, 31, 270, 61, 1601.30, 55787.19, 0.03, 34.84, 3099.29, 0.49
values_65, 205, 30, 80, 38, 285, 68, 1734.93, 54787.17, 0.03, 31.58, 3043.73, 0.48
values_96, 204, 30, 76, 37, 280, 67, 1698.50, 52332.32, 0.03, 30.81, 2907.35, 0.47
values_28, 196, 30, 71, 30, 267, 60, 1577.14, 55988.46, 0.03, 35.50, 3110.47, 0.49
values_54, 210, 30, 82, 43, 292, 73, 1807.43, 51700.87, 0.03, 28.60, 2872.27, 0.46
values_15, 208, 30, 80, 36, 288, 66, 1740.79, 58026.18, 0.03, 33.33, 3223.68, 0.50
values_87, 211, 30, 83, 41, 294, 71, 1808.03, 54902.24, 0.03, 30.37, 3050.12, 0.48
values_59, 212, 30, 84, 44, 296, 74, 1838.00, 52633.58, 0.03, 28.64, 2924.09, 0.47
values_5, 205, 30, 77, 36, 282, 66, 1704.52, 54686.66, 0.03, 32.08, 3038.15, 0.48
values_92, 179, 30, 61, 22, 240, 52, 1368.11, 56900.75, 0.02, 41.59, 3161.15, 0.49
values_0, 217, 30, 84, 41, 301, 71, 1851.07, 56886.66, 0.03, 30.73, 3160.37, 0.49
values_77, 211, 30, 83, 41, 294, 71, 1808.03, 54902.24, 0.03, 30.37, 3050.12, 0.48
values_17, 185, 30, 65, 26, 250, 56, 1451.84, 54443.95, 0.03, 37.50, 3024.66, 0.48
values_12, 189, 30, 67, 27, 256, 57, 1493.22, 55580.96, 0.03, 37.22, 3087.83, 0.49
values_33, 194, 30, 72, 31, 266, 61, 1577.58, 54960.72, 0.03, 34.84, 3053.37, 0.48
values_25, 184, 30, 63, 23, 247, 53, 1414.80, 58129.68, 0.02, 41.09, 3229.43, 0.50
values_19, 183, 30, 63, 24, 246, 54, 1415.70, 55743.28, 0.03, 39.38, 3096.85, 0.49
values_97, 216, 30, 84, 43, 300, 73, 1856.95, 54412.88, 0.03, 29.30, 3022.94, 0.48
values_81, 185, 30, 64, 25, 249, 55, 1439.56, 55279.05, 0.03, 38.40, 3071.06, 0.48
values_8, 191, 30, 69, 29, 260, 59, 1529.49, 54586.87, 0.03, 35.69, 3032.60, 0.48
values_73, 184, 30, 64, 25, 248, 55, 1433.78, 55057.04, 0.03, 38.40, 3058.72, 0.48
values_89, 196, 30, 71, 31, 267, 61, 1583.51, 54401.12, 0.03, 34.35, 3022.28, 0.48
values_82, 202, 30, 75, 33, 277, 63, 1655.71, 56444.54, 0.03, 34.09, 3135.81, 0.49
values_34, 210, 30, 78, 36, 288, 66, 1740.79, 56575.53, 0.03, 32.50, 3143.08, 0.49
values_70, 216, 30, 85, 45, 301, 75, 1874.87, 53121.44, 0.04, 28.33, 2951.19, 0.47
values_29, 195, 30, 72, 32, 267, 62, 1589.77, 53654.75, 0.03, 33.75, 2980.82, 0.47
values_51, 178, 30, 60, 21, 238, 51, 1350.04, 57858.74, 0.02, 42.86, 3214.37, 0.50
values_57, 188, 30, 66, 26, 254, 56, 1475.07, 56166.06, 0.03, 38.08, 3120.34, 0.49
values_88, 212, 30, 81, 38, 293, 68, 1783.63, 57029.11, 0.03, 31.97, 3168.28, 0.49
values_23, 197, 30, 72, 33, 269, 63, 1607.89, 52621.80, 0.03, 32.73, 2923.43, 0.47
values_45, 183, 30, 64, 24, 247, 54, 1421.46, 56858.29, 0.03, 40, 3158.79, 0.49
values_66, 216, 30, 82, 38, 298, 68, 1814.06, 58718.38, 0.03, 32.37, 3262.13, 0.50
values_36, 208, 30, 79, 39, 287, 69, 1753.15, 53268.68, 0.03, 30.38, 2959.37, 0.47
values_56, 210, 30, 77, 37, 287, 67, 1740.97, 54346.42, 0.03, 31.22, 3019.25, 0.48
values_26, 194, 30, 71, 32, 265, 62, 1577.86, 52513.22, 0.03, 33.28, 2917.40, 0.47
values_43, 181, 30, 62, 23, 243, 53, 1391.88, 56280.55, 0.02, 40.43, 3126.70, 0.49
values_52, 209, 30, 81, 40, 290, 70, 1777.49, 53991.32, 0.03, 30.38, 2999.52, 0.48
values_98, 196, 30, 73, 33, 269, 63, 1607.89, 53352.66, 0.03, 33.18, 2964.04, 0.47
values_61, 209, 30, 81, 41, 290, 71, 1783.43, 52850.33, 0.03, 29.63, 2936.13, 0.47
values_44, 185, 30, 64, 25, 249, 55, 1439.56, 55279.05, 0.03, 38.40, 3071.06, 0.48
values_68, 205, 30, 77, 35, 282, 65, 1698.31, 56044.15, 0.03, 33, 3113.56, 0.49
values_41, 211, 30, 84, 41, 295, 71, 1814.18, 55752.71, 0.03, 30.73, 3097.37, 0.49
values_85, 220, 30, 84, 44, 304, 74, 1887.67, 54056.11, 0.03, 28.64, 3003.12, 0.48
values_79, 186, 30, 64, 25, 250, 55, 1445.34, 55501.05, 0.03, 38.40, 3083.39, 0.49
values_71, 176, 30, 59, 20, 235, 50, 1326.31, 58689.05, 0.02, 44.25, 3260.50, 0.50
values_63, 217, 30, 84, 43, 301, 73, 1863.14, 54594.25, 0.03, 29.30, 3033.01, 0.48
values_20, 189, 30, 68, 29, 257, 59, 1511.84, 53175.04, 0.03, 35.17, 2954.17, 0.47
values_74, 218, 30, 85, 43, 303, 73, 1875.52, 55611.26, 0.03, 29.65, 3089.51, 0.49
values_72, 184, 30, 64, 25, 248, 55, 1433.78, 55057.04, 0.03, 38.40, 3058.72, 0.48
values_86, 215, 30, 83, 44, 298, 74, 1850.42, 52358.39, 0.04, 28.30, 2908.80, 0.47
values_75, 207, 30, 78, 38, 285, 68, 1734.93, 53417.49, 0.03, 30.79, 2967.64, 0.47
values_55, 180, 30, 63, 24, 243, 54, 1398.44, 55063.48, 0.03, 39.38, 3059.08, 0.48
values_14, 192, 30, 69, 29, 261, 59, 1535.37, 54796.82, 0.03, 35.69, 3044.27, 0.48
values_47, 206, 30, 80, 38, 286, 68, 1741.01, 54979.40, 0.03, 31.58, 3054.41, 0.48
values_91, 182, 30, 62, 23, 244, 53, 1397.61, 56512.16, 0.02, 40.43, 3139.56, 0.49
values_64, 180, 30, 61, 22, 241, 52, 1373.81, 57137.84, 0.02, 41.59, 3174.32, 0.49
values_11, 189, 30, 67, 27, 256, 57, 1493.22, 55580.96, 0.03, 37.22, 3087.83, 0.49
values_49, 200, 30, 76, 35, 276, 65, 1662.17, 54139.37, 0.03, 32.57, 3007.74, 0.48
