id,clockCycles,assemblyInstr
values_27,2142,
values_84,74728,
values_65,3189,
values_96,10745,
values_28,107955,
values_54,35939,
values_15,95882,
values_87,57032,
values_59,65551,
values_5,134675,
values_92,57262,
values_0,2169,
values_77,20858,
values_17,57031,
values_12,49304,
values_33,85111,
values_25,84953,
values_19,57048,
values_97,49198,
values_81,120742,
values_8,49481,
values_73,13688,
values_89,120823,
values_82,350,
values_34,2142,
values_70,678,
values_29,2151,
values_51,10715,
values_57,2159,
values_88,17002,
values_23,30281,
values_45,1347,
values_66,134794,
values_36,16985,
values_56,30389,
values_26,1371,
values_43,2153,
values_52,4564,
values_98,13624,
values_61,35892,
values_44,65472,
values_68,4547,
values_41,13640,
values_85,346,
values_79,8248,
values_71,1367,
values_63,120831,
values_20,95962,
values_74,8271,
values_72,16940,
values_86,2169,
values_75,36014,
values_55,1352,
values_14,151,
values_47,49374,
values_91,57040,
values_64,4566,
values_11,56926,
values_49,16980,
values_62,65482,
values_80,17025,
values_39,49166,
values_90,155,
values_53,6216,
values_94,42378,
values_7,151,
values_31,120656,
values_93,49195,
values_38,25272,
values_58,74813,
values_78,8301,
values_50,1365,
values_3,30381,
values_13,49262,
values_83,57045,
values_1,120844,
values_21,35960,
values_32,4547,
values_22,4540,
values_9,49232,
values_6,107933,
values_76,107968,
values_18,6244,
values_16,13646,
values_40,74708,
values_2,6195,
values_60,134767,
values_99,8300,
values_48,6239,
values_69,10738,
values_46,96007,
values_24,16991,
values_95,49204,
values_42,25276,
values_37,30320,
values_10,4544,
values_67,50,
values_35,50,
values_30,49348,
values_4,352,
