id,cInstr
values_27,30
values_84,35
values_65,30
values_96,30
values_28,30
values_54,30
values_15,30
values_87,30
values_59,25
values_5,30
values_92,30
values_0,25
values_77,30
values_17,30
values_12,30
values_33,20
values_25,35
values_19,30
values_97,30
values_81,30
values_8,25
values_73,30
values_89,35
values_82,35
values_34,25
values_70,30
values_29,30
values_51,25
values_57,30
values_88,35
values_23,30
values_45,25
values_66,30
values_36,20
values_56,25
values_26,30
values_43,20
values_52,25
values_98,30
values_61,30
values_44,25
values_68,30
values_41,20
values_85,30
values_79,30
values_71,30
values_63,30
values_20,35
values_74,30
values_72,30
values_86,30
values_75,30
values_55,25
values_14,35
values_47,25
values_91,30
values_64,30
values_11,30
values_49,25
values_62,30
values_80,30
values_39,25
values_90,30
values_53,25
values_94,30
values_7,30
values_31,20
values_93,30
values_38,25
values_58,30
values_78,30
values_50,25
values_3,25
values_13,30
values_83,30
values_1,25
values_21,30
values_32,25
values_22,30
values_9,25
values_6,25
values_76,30
values_18,35
values_16,30
values_40,25
values_2,25
values_60,35
values_99,30
values_48,20
values_69,35
values_46,20
values_24,30
values_95,30
values_42,20
values_37,25
values_10,30
values_67,30
values_35,25
values_30,25
values_4,25
