id,cInstr
values_27,3194
values_84,2342
values_65,2508
values_96,558
values_28,3184
values_54,152
values_15,1648
values_87,2046
values_59,1600
values_5,222
values_92,1568
values_0,788
values_77,3260
values_17,288
values_12,20
values_33,46
values_25,510
values_19,110
values_97,2392
values_81,78
values_8,880
values_73,182
values_89,2286
values_82,636
values_34,1338
values_70,1346
values_29,2388
values_51,1294
values_57,1154
values_88,696
values_23,2862
values_45,20
values_66,1126
values_36,78
values_56,20
values_26,2956
values_43,828
values_52,430
values_98,2214
values_61,1338
values_44,1658
values_68,526
values_41,322
values_85,536
values_79,1438
values_71,2448
values_63,672
values_20,2068
values_74,72
values_72,2324
values_86,2680
values_75,54
values_55,38
values_14,720
values_47,3338
values_91,1360
values_64,2054
values_11,1038
values_49,226
values_62,1352
values_80,2696
values_39,1310
values_90,118
values_53,178
values_94,1170
values_7,1358
values_31,1248
values_93,2036
values_38,286
values_58,24
values_78,926
values_50,790
values_3,20
values_13,878
values_83,20
values_1,1312
values_21,94
values_32,42
values_22,270
values_9,718
values_6,118
values_76,2154
values_18,1256
values_16,1394
values_40,2276
values_2,46
values_60,182
values_99,278
values_48,662
values_69,120
values_46,1788
values_24,1588
values_95,248
values_42,508
values_37,1142
values_10,484
values_67,1598
values_35,446
values_30,2570
values_4,3512
