inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 168, 28, 60, 25, 228, 53, 1305.97, 43880.45, 0.03, 33.60, 2437.80, 0.41
values_84, 180, 28, 67, 30, 247, 58, 1446.92, 45240.41, 0.03, 31.27, 2513.36, 0.42
values_65, 186, 28, 71, 34, 257, 62, 1530.23, 44736.68, 0.03, 29.24, 2485.37, 0.42
values_96, 161, 28, 56, 22, 217, 50, 1224.72, 43644.45, 0.03, 35.64, 2424.69, 0.41
values_28, 159, 28, 52, 19, 211, 47, 1172.02, 44906.80, 0.03, 38.32, 2494.82, 0.42
values_54, 166, 28, 57, 22, 223, 50, 1258.58, 45652.13, 0.03, 36.27, 2536.23, 0.43
values_15, 153, 28, 49, 16, 202, 44, 1102.81, 47282.77, 0.02, 42.88, 2626.82, 0.44
values_87, 175, 28, 66, 32, 241, 60, 1423.56, 41105.31, 0.03, 28.88, 2283.63, 0.40
values_59, 184, 28, 70, 35, 254, 63, 1518.23, 42510.41, 0.04, 28, 2361.69, 0.41
values_5, 170, 28, 62, 27, 232, 55, 1341.28, 43119.52, 0.03, 32.15, 2395.53, 0.41
values_92, 182, 28, 66, 30, 248, 58, 1452.78, 44745.60, 0.03, 30.80, 2485.87, 0.42
values_0, 172, 28, 62, 28, 234, 56, 1358.92, 42126.55, 0.03, 31, 2340.36, 0.40
values_77, 182, 28, 67, 32, 249, 60, 1470.82, 43113.29, 0.03, 29.31, 2395.18, 0.41
values_17, 188, 28, 71, 35, 259, 63, 1548.12, 43966.48, 0.04, 28.40, 2442.58, 0.42
values_12, 179, 28, 65, 30, 244, 58, 1429.35, 43356.87, 0.03, 30.33, 2408.72, 0.41
values_33, 179, 28, 68, 33, 247, 61, 1464.89, 42259.92, 0.03, 28.85, 2347.77, 0.40
values_25, 172, 28, 61, 27, 233, 55, 1347.06, 42606.91, 0.03, 31.63, 2367.05, 0.41
values_19, 158, 28, 51, 18, 209, 46, 1154.42, 45792.17, 0.03, 39.67, 2544.01, 0.43
values_97, 162, 28, 56, 23, 218, 51, 1236.59, 42151.55, 0.03, 34.09, 2341.75, 0.40
values_81, 173, 28, 64, 27, 237, 55, 1370.18, 45469.75, 0.03, 33.19, 2526.10, 0.42
values_8, 158, 28, 53, 20, 211, 48, 1178.43, 43719.64, 0.03, 37.10, 2428.87, 0.41
values_73, 192, 28, 71, 37, 263, 65, 1583.88, 42550.80, 0.04, 26.86, 2363.93, 0.41
values_89, 164, 28, 56, 23, 220, 51, 1247.93, 42538.26, 0.03, 34.09, 2363.24, 0.41
values_82, 159, 28, 52, 19, 211, 47, 1172.02, 44906.80, 0.03, 38.32, 2494.82, 0.42
values_34, 181, 28, 66, 32, 247, 60, 1459.00, 42128.68, 0.03, 28.88, 2340.48, 0.40
values_70, 181, 28, 69, 36, 250, 64, 1500, 40250, 0.04, 26.83, 2236.11, 0.39
values_29, 173, 28, 61, 27, 234, 55, 1352.84, 42789.77, 0.03, 31.63, 2377.21, 0.41
values_51, 167, 28, 58, 25, 225, 53, 1288.78, 41859.64, 0.03, 32.48, 2325.54, 0.40
values_57, 176, 28, 64, 30, 240, 58, 1405.92, 41990.01, 0.03, 29.87, 2332.78, 0.40
values_88, 185, 28, 71, 36, 256, 64, 1536, 42410.67, 0.04, 27.61, 2356.15, 0.41
values_23, 157, 28, 50, 17, 207, 45, 1136.81, 46809.97, 0.02, 41.18, 2600.55, 0.43
values_45, 186, 28, 70, 35, 256, 63, 1530.18, 42845.14, 0.04, 28, 2380.29, 0.41
values_66, 170, 28, 60, 27, 230, 55, 1329.71, 41368.84, 0.03, 31.11, 2298.27, 0.40
values_36, 176, 28, 64, 29, 240, 57, 1399.89, 43251.89, 0.03, 30.90, 2402.88, 0.41
values_56, 167, 28, 57, 23, 224, 51, 1270.62, 44085.10, 0.03, 34.70, 2449.17, 0.42
values_26, 187, 28, 69, 36, 256, 64, 1536, 41216, 0.04, 26.83, 2289.78, 0.40
values_43, 154, 28, 50, 17, 204, 45, 1120.34, 46131.57, 0.02, 41.18, 2562.86, 0.43
values_52, 187, 28, 69, 34, 256, 62, 1524.27, 43307.32, 0.04, 28.41, 2405.96, 0.41
values_98, 186, 28, 68, 34, 254, 62, 1512.37, 42346.24, 0.04, 28, 2352.57, 0.40
values_61, 186, 28, 70, 34, 256, 62, 1524.27, 43934.96, 0.03, 28.82, 2440.83, 0.42
values_44, 152, 28, 48, 15, 200, 43, 1085.25, 48619.33, 0.02, 44.80, 2701.07, 0.44
values_68, 174, 28, 64, 30, 238, 58, 1394.20, 41640.09, 0.03, 29.87, 2313.34, 0.40
values_41, 169, 28, 61, 27, 230, 55, 1329.71, 42058.32, 0.03, 31.63, 2336.57, 0.40
values_85, 178, 28, 64, 28, 242, 56, 1405.38, 44972.16, 0.03, 32, 2498.45, 0.42
values_79, 172, 28, 62, 28, 234, 56, 1358.92, 42126.55, 0.03, 31, 2340.36, 0.40
values_71, 176, 28, 64, 30, 240, 58, 1405.92, 41990.01, 0.03, 29.87, 2332.78, 0.40
values_63, 184, 28, 69, 35, 253, 63, 1512.25, 41738.15, 0.04, 27.60, 2318.79, 0.40
values_20, 166, 28, 60, 27, 226, 55, 1306.59, 40649.38, 0.03, 31.11, 2258.30, 0.39
values_74, 160, 28, 54, 21, 214, 49, 1201.55, 43255.72, 0.03, 36, 2403.10, 0.41
values_72, 166, 28, 57, 24, 223, 52, 1271.20, 42267.34, 0.03, 33.25, 2348.19, 0.40
values_86, 184, 28, 69, 31, 253, 59, 1488.31, 46377.62, 0.03, 31.16, 2576.53, 0.43
values_75, 161, 28, 54, 21, 215, 49, 1207.16, 43457.85, 0.03, 36, 2414.33, 0.41
values_55, 163, 28, 55, 22, 218, 50, 1230.36, 43062.62, 0.03, 35, 2392.37, 0.41
values_14, 179, 28, 64, 31, 243, 59, 1429.48, 41316.65, 0.03, 28.90, 2295.37, 0.40
values_47, 188, 28, 70, 36, 258, 64, 1548, 42140, 0.04, 27.22, 2341.11, 0.40
values_91, 185, 28, 70, 35, 255, 63, 1524.21, 42677.78, 0.04, 28, 2370.99, 0.41
values_64, 164, 28, 56, 23, 220, 51, 1247.93, 42538.26, 0.03, 34.09, 2363.24, 0.41
values_11, 168, 28, 59, 25, 227, 53, 1300.24, 42959.86, 0.03, 33.04, 2386.66, 0.41
values_49, 160, 28, 53, 19, 213, 47, 1183.13, 46204.24, 0.03, 39.05, 2566.90, 0.43
values_62, 158, 28, 52, 19, 210, 47, 1166.46, 44693.98, 0.03, 38.32, 2483.00, 0.42
values_80, 161, 28, 54, 21, 215, 49, 1207.16, 43457.85, 0.03, 36, 2414.33, 0.41
values_39, 153, 28, 49, 16, 202, 44, 1102.81, 47282.77, 0.02, 42.88, 2626.82, 0.44
values_90, 167, 28, 58, 25, 225, 53, 1288.78, 41859.64, 0.03, 32.48, 2325.54, 0.40
values_53, 167, 28, 58, 25, 225, 53, 1288.78, 41859.64, 0.03, 32.48, 2325.54, 0.40
values_94, 178, 28, 66, 29, 244, 57, 1423.23, 45346.90, 0.03, 31.86, 2519.27, 0.42
values_7, 162, 28, 55, 22, 217, 50, 1224.72, 42865.09, 0.03, 35, 2381.39, 0.41
values_31, 169, 28, 59, 24, 228, 52, 1299.70, 44731.35, 0.03, 34.42, 2485.08, 0.42
values_93, 183, 28, 71, 33, 254, 61, 1506.41, 45374.81, 0.03, 30.12, 2520.82, 0.42
values_38, 180, 28, 67, 31, 247, 59, 1453.01, 43965.36, 0.03, 30.26, 2442.52, 0.42
values_58, 154, 28, 50, 16, 204, 44, 1113.72, 48725.43, 0.02, 43.75, 2706.97, 0.44
